WKT,gid,lon,lat
"POLYGON ((103.691842 1.243788,103.693342 1.243788,103.694092 1.242489,103.693342 1.24119,103.691842 1.24119,103.691092 1.242489,103.691842 1.243788))",590039,103.692592000000000,1.242487000000000
"POLYGON ((103.696342 1.243788,103.697842 1.243788,103.698592 1.242489,103.697842 1.24119,103.696342 1.24119,103.695592 1.242489,103.696342 1.243788))",590041,103.697092000000000,1.242487000000000
"POLYGON ((103.700842 1.243788,103.702342 1.243788,103.703092 1.242489,103.702342 1.24119,103.700842 1.24119,103.700092 1.242489,103.700842 1.243788))",590043,103.701592000000010,1.242487000000000
"POLYGON ((103.705342 1.243788,103.706842 1.243788,103.707592 1.242489,103.706842 1.24119,103.705342 1.24119,103.704592 1.242489,103.705342 1.243788))",590045,103.706092000000000,1.242487000000000
"POLYGON ((103.709842 1.243788,103.711342 1.243788,103.712092 1.242489,103.711342 1.24119,103.709842 1.24119,103.709092 1.242489,103.709842 1.243788))",590047,103.710592000000010,1.242487000000000
"POLYGON ((103.714342 1.243788,103.715842 1.243788,103.716592 1.242489,103.715842 1.24119,103.714342 1.24119,103.713592 1.242489,103.714342 1.243788))",590049,103.715092000000000,1.242487000000000
"POLYGON ((103.910092 1.400972,103.911592 1.400972,103.912342 1.399673,103.911592 1.398374,103.910092 1.398374,103.909342 1.399673,103.910092 1.400972))",1800136,103.910842000000000,1.399666000000000
"POLYGON ((103.718842 1.243788,103.720342 1.243788,103.721092 1.242489,103.720342 1.24119,103.718842 1.24119,103.718092 1.242489,103.718842 1.243788))",590051,103.719592000000010,1.242487000000000
"POLYGON ((103.723342 1.243788,103.724842 1.243788,103.725592 1.242489,103.724842 1.24119,103.723342 1.24119,103.722592 1.242489,103.723342 1.243788))",590053,103.724092000000000,1.242487000000000
"POLYGON ((103.727842 1.243788,103.729342 1.243788,103.730092 1.242489,103.729342 1.24119,103.727842 1.24119,103.727092 1.242489,103.727842 1.243788))",590055,103.728592000000010,1.242487000000000
"POLYGON ((103.732342 1.243788,103.733842 1.243788,103.734592 1.242489,103.733842 1.24119,103.732342 1.24119,103.731592 1.242489,103.732342 1.243788))",590057,103.733092000000000,1.242487000000000
"POLYGON ((103.736842 1.243788,103.738342 1.243788,103.739092 1.242489,103.738342 1.24119,103.736842 1.24119,103.736092 1.242489,103.736842 1.243788))",590059,103.737592000000010,1.242487000000000
"POLYGON ((103.741342 1.243788,103.742842 1.243788,103.743592 1.242489,103.742842 1.24119,103.741342 1.24119,103.740592 1.242489,103.741342 1.243788))",590061,103.742092000000000,1.242487000000000
"POLYGON ((103.745842 1.243788,103.747342 1.243788,103.748092 1.242489,103.747342 1.24119,103.745842 1.24119,103.745092 1.242489,103.745842 1.243788))",590063,103.746592000000010,1.242487000000000
"POLYGON ((103.750342 1.243788,103.751842 1.243788,103.752592 1.242489,103.751842 1.24119,103.750342 1.24119,103.749592 1.242489,103.750342 1.243788))",590065,103.751092000000000,1.242487000000000
"POLYGON ((103.754842 1.243788,103.756342 1.243788,103.757092 1.242489,103.756342 1.24119,103.754842 1.24119,103.754092 1.242489,103.754842 1.243788))",590067,103.755591999999990,1.242487000000000
"POLYGON ((103.759342 1.243788,103.760842 1.243788,103.761592 1.242489,103.760842 1.24119,103.759342 1.24119,103.758592 1.242489,103.759342 1.243788))",590069,103.760092000000000,1.242487000000000
"POLYGON ((103.763842 1.243788,103.765342 1.243788,103.766092 1.242489,103.765342 1.24119,103.763842 1.24119,103.763092 1.242489,103.763842 1.243788))",590071,103.764591999999990,1.242487000000000
"POLYGON ((103.768342 1.243788,103.769842 1.243788,103.770592 1.242489,103.769842 1.24119,103.768342 1.24119,103.767592 1.242489,103.768342 1.243788))",590073,103.769092000000000,1.242487000000000
"POLYGON ((103.772842 1.243788,103.774342 1.243788,103.775092 1.242489,103.774342 1.24119,103.772842 1.24119,103.772092 1.242489,103.772842 1.243788))",590075,103.773591999999990,1.242487000000000
"POLYGON ((103.777342 1.243788,103.778842 1.243788,103.779592 1.242489,103.778842 1.24119,103.777342 1.24119,103.776592 1.242489,103.777342 1.243788))",590077,103.778092000000000,1.242487000000000
"POLYGON ((103.781842 1.243788,103.783342 1.243788,103.784092 1.242489,103.783342 1.24119,103.781842 1.24119,103.781092 1.242489,103.781842 1.243788))",590079,103.782591999999990,1.242487000000000
"POLYGON ((103.786342 1.243788,103.787842 1.243788,103.788592 1.242489,103.787842 1.24119,103.786342 1.24119,103.785592 1.242489,103.786342 1.243788))",590081,103.787092000000000,1.242487000000000
"POLYGON ((103.790842 1.243788,103.792342 1.243788,103.793092 1.242489,103.792342 1.24119,103.790842 1.24119,103.790092 1.242489,103.790842 1.243788))",590083,103.791591999999990,1.242487000000000
"POLYGON ((103.795342 1.243788,103.796842 1.243788,103.797592 1.242489,103.796842 1.24119,103.795342 1.24119,103.794592 1.242489,103.795342 1.243788))",590085,103.796092000000000,1.242487000000000
"POLYGON ((103.799842 1.243788,103.801342 1.243788,103.802092 1.242489,103.801342 1.24119,103.799842 1.24119,103.799092 1.242489,103.799842 1.243788))",590087,103.800591999999990,1.242487000000000
"POLYGON ((103.804342 1.243788,103.805842 1.243788,103.806592 1.242489,103.805842 1.24119,103.804342 1.24119,103.803592 1.242489,103.804342 1.243788))",590089,103.805092000000000,1.242487000000000
"POLYGON ((103.808842 1.243788,103.810342 1.243788,103.811092 1.242489,103.810342 1.24119,103.808842 1.24119,103.808092 1.242489,103.808842 1.243788))",590091,103.809591999999990,1.242487000000000
"POLYGON ((103.813342 1.243788,103.814842 1.243788,103.815592 1.242489,103.814842 1.24119,103.813342 1.24119,103.812592 1.242489,103.813342 1.243788))",590093,103.814092000000000,1.242487000000000
"POLYGON ((103.817842 1.243788,103.819342 1.243788,103.820092 1.242489,103.819342 1.24119,103.817842 1.24119,103.817092 1.242489,103.817842 1.243788))",590095,103.818592000000000,1.242487000000000
"POLYGON ((103.822342 1.243788,103.823842 1.243788,103.824592 1.242489,103.823842 1.24119,103.822342 1.24119,103.821592 1.242489,103.822342 1.243788))",590097,103.823092000000000,1.242487000000000
"POLYGON ((103.826842 1.243788,103.828342 1.243788,103.829092 1.242489,103.828342 1.24119,103.826842 1.24119,103.826092 1.242489,103.826842 1.243788))",590099,103.827592000000000,1.242487000000000
"POLYGON ((103.831342 1.243788,103.832842 1.243788,103.833592 1.242489,103.832842 1.24119,103.831342 1.24119,103.830592 1.242489,103.831342 1.243788))",590101,103.832092000000000,1.242487000000000
"POLYGON ((103.835842 1.243788,103.837342 1.243788,103.838092 1.242489,103.837342 1.24119,103.835842 1.24119,103.835092 1.242489,103.835842 1.243788))",590103,103.836592000000000,1.242487000000000
"POLYGON ((103.840342 1.243788,103.841842 1.243788,103.842592 1.242489,103.841842 1.24119,103.840342 1.24119,103.839592 1.242489,103.840342 1.243788))",590105,103.841092000000000,1.242487000000000
"POLYGON ((103.844842 1.243788,103.846342 1.243788,103.847092 1.242489,103.846342 1.24119,103.844842 1.24119,103.844092 1.242489,103.844842 1.243788))",590107,103.845592000000000,1.242487000000000
"POLYGON ((103.849342 1.243788,103.850842 1.243788,103.851592 1.242489,103.850842 1.24119,103.849342 1.24119,103.848592 1.242489,103.849342 1.243788))",590109,103.850092000000000,1.242487000000000
"POLYGON ((103.853842 1.243788,103.855342 1.243788,103.856092 1.242489,103.855342 1.24119,103.853842 1.24119,103.853092 1.242489,103.853842 1.243788))",590111,103.854592000000000,1.242487000000000
